#-------------------[ systemctl list-unit-files ] -----------------------#

UNIT FILE                              STATE           PRESET
systemd-update-done.service            static          -
systemd-update-utmp-runlevel.service   static          -
systemd-update-utmp.service            static          -
systemd-user-sessions.service          static          -
systemd-userdbd.service                indirect        disabled
systemd-vconsole-setup.service         static          -
systemd-volatile-root.service          static          -
umountnfs.service                      generated       -
upload-core-metrics.service            static          -
upload-flatpak-list.service            static          -
upload-kernel-logs.service             static          -
upload-mmc-health.service              static          -
upload-storage-usage.service           static          -
upmand.service                         enabled         disabled
urandom.service                        masked          disabled
usb3-downgrade.service                 enabled         enabled
user-runtime-dir@.service              static          -
user@.service                          static          -
var-volatile-cache.service             enabled         enabled
var-volatile-lib.service               enabled         enabled
var-volatile-spool.service             enabled         enabled
var-volatile-srv.service               enabled         enabled
volatile.service                       alias           -
weston.service                         enabled         enabled
wpa_supplicant-nl80211@.service        disabled        disabled
wpa_supplicant-wired@.service          disabled        disabled
wpa_supplicant.service                 disabled        disabled
wpa_supplicant@.service                disabled        disabled
zg.service                             enabled         enabled
zgm130s.service                        enabled         enabled
zram.service                           enabled         enabled
system-flatpak_change.slice            static          -
user.slice                             static          -
dbus.socket                            static          -
sshd.socket                            enabled         enabled
syslog.socket                          static          -
systemd-initctl.socket                 static          -
systemd-journald-audit.socket          disabled        enabled
systemd-journald-dev-log.socket        static          -
systemd-journald-varlink@.socket       static          -
systemd-journald.socket                static          -
systemd-journald@.socket               static          -
systemd-networkd.socket                enabled         disabled
systemd-rfkill.socket                  static          -
systemd-udevd-control.socket           static          -
systemd-udevd-kernel.socket            static          -
systemd-userdbd.socket                 enabled         enabled
weston.socket                          enabled         enabled
basic.target                           static          -
blockdev@.target                       static          -
bluetooth.target                       static          -
board-ca1.target                       static          -
board-ca10.target                      static          -
board-core1.target                     static          -
board-core3.target                     static          -
board-core5.target                     static          -
board-corelite.target                  static          -
board-eastrmamp1.target                static          -
board-eastrmpre1.target                static          -
board-eastrmpre4.target                static          -
board-esstrmsndbr3ch.target            static          -
board-esstrmspkr5.target               static          -
board-lumabr4.target                   static          -
board-qemuarm64.target                 static          -
board-qemux86-64.target                static          -
board-sa1.target                       static          -
boot-complete.target                   static          -
class-@.target                         static          -
ctrl-alt-del.target                    alias           -
default.target                         alias           -
emergency.target                       static          -
exit.target                            disabled        disabled
factory-reset.target                   static          -
final.target                           static          -
first-boot-complete.target             static          -
getty-pre.target                       static          -
getty.target                           static          -
graphical.target                       static          -
halt.target                            disabled        disabled
hibernate.target                       static          -
hybrid-sleep.target                    static          -
initrd-fs.target                       static          -
initrd-root-device.target              static          -
initrd-root-fs.target                  static          -
initrd-switch-root.target              static          -
initrd-usr-fs.target                   static          -
initrd.target                          static          -
kexec.target                           disabled        disabled
local-fs-pre.target                    static          -
local-fs.target                        static          -
machine-@.target                       static          -
multi-user.target                      indirect        disabled
network-online.target                  static          -
network-pre.target                     static          -
network.target                         static          -
nss-lookup.target                      static          -
nss-user-lookup.target                 static          -
paths.target                           static          -
poweroff.target                        disabled        disabled
printer.target                         static          -
reboot.target                          enabled         enabled
remote-fs-pre.target                   static          -
remote-fs.target                       enabled         enabled
rescue.target                          static          -
rpcbind.target                         static          -
runlevel0.target                       alias           -
runlevel1.target                       alias           -
runlevel2.target                       alias           -
runlevel3.target                       alias           -
runlevel4.target                       alias           -
runlevel5.target                       alias           -
runlevel6.target                       alias           -
shutdown.target                        static          -
sigpwr.target                          static          -
sleep.target                           static          -
slices.target                          static          -
smartcard.target                       static          -
sockets.target                         static          -
sound.target                           static          -
suspend-then-hibernate.target          static          -
suspend.target                         static          -
swap.target                            static          -
sysinit.target                         static          -
system-update-pre.target               static          -
system-update.target                   static          -
time-set.target                        static          -
time-sync.target                       static          -
timers.target                          static          -
umount.target                          static          -
usb-gadget.target                      static          -
logrotate.timer                        enabled         enabled
systemd-tmpfiles-clean.timer           static          -
upload-core-metrics.timer              enabled         enabled
upload-flatpak-list.timer              enabled         enabled
upload-kernel-logs.timer               enabled         enabled
upload-mmc-health.timer                enabled         enabled
upload-storage-usage.timer             enabled         enabled

331 unit files listed.
